"Refid","Author","Title","Year","User","Level","Subsection Title","Experimental outcome addressed in experiment/assay.","Is the experiment/assay of sufficient quality?","If “No”; Which domain(s) of study quality failed? -> Exposure Assessment or Assignment","If “No”; Which domain(s) of study quality failed? -> Outcome Assessment/Evaluation","If “No”; Which domain(s) of study quality failed? -> Study Design","Rationale for study quality judgement.","Animal Type -> Mouse","Animal Type -> Rat","Rat -> Long-Evans","Rat -> Sprague Dawley","Rat -> Wistar","Rat -> Not Specified","Mouse -> CD1","Mouse -> C57BL/6","Mouse -> ICR","Mouse -> Agouti","Mouse -> Not Specified","Mouse -> CBA/CaJ","Mouse -> Tg-SWDI","Mouse -> Kunming","Groups, Sex, and Number of Animals Reported","Form of Pb","Exposure Route -> Oral, diet","Exposure Route -> Oral, drinking water","Exposure Route -> Oral, gavage","Exposure Route -> Oral, lactation","Exposure Route -> Inhalation","Exposure Route -> In utero","Is this a developmental exposure?","What stage of development was assessed? Select all that apply. -> Preconception","What stage of development was assessed? Select all that apply. -> Prenatal","What stage of development was assessed? Select all that apply. -> Postnatal","What stage of development was assessed? Select all that apply. -> Juvenile/Adolescent","What stage of development was assessed? Select all that apply. -> Continued to Adult","What stage of development was assessed? Select all that apply. -> Multigenerational","Start and end day of exposure","Exposure Duration -> Short-Term (less than or equal to 30 days)","Exposure Duration -> Short-Term (less than or equal to 30 days) (COMMENT)","Exposure Duration -> Long-Term (greater than 30 days)","Exposure Duration -> Long-Term (greater than 30 days) (COMMENT)","Exposure Design Notes","Time of Outcome Assessment
Report day(s) outcome was assessed (e.g., PND 21, 28, 35).","Blood Lead Level - Reported Units","Blood Lead Level- Converted to ug/dL","Does this study involve an at-risk population?","Additional Notes"
5437575,"Mansouri, M. T., Naghizadeh, B., López-Larrubia, P., Cauli, O.","Behavioral deficits induced by lead exposure are accompanied by serotonergic and cholinergic alterations in the prefrontal cortex",2013,Hester.Kirstin@epa.gov,2,"Motor Function","Rotarod Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water or water+NaAc), M/F, n = 16 (8/8)
50 ppm, M/F, n = 16 (8/8)","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"PND 55 to PND 181",,,"Long-Term (greater than 30 days)",126,"Data from tap water and NaAc control groups were first analyzed separately and no significant differences were found. The data from these groups was pooled as a single control group for the results.","PND 155-159","PND 178-181 - Females: 
NR for Control
10.6 ug/dL for 50 ppm

PND 178-181 - Males: 
NR for Control
18.9 ug/dL for 50 ppm","PND 178-181 - Females: 
NR for Control
10.6 ug/dL for 50 ppm

PND 178-181 - Males: 
NR for Control
18.9 ug/dL for 50 ppm",No,
5437575,"Mansouri, M. T., Naghizadeh, B., López-Larrubia, P., Cauli, O.","Behavioral deficits induced by lead exposure are accompanied by serotonergic and cholinergic alterations in the prefrontal cortex",2013,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Open Field Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water or water+NaAc), M/F, n = 16 (8/8)
50 ppm, M/F, n = 16 (8/8)","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"PND 55 to PND 181",,,"Long-Term (greater than 30 days)",126,"Data from tap water and NaAc control groups were first analyzed separately and no significant differences were found. The data from these groups was pooled as a single control group for the results.","PND 150-152","PND 178-181 - Females: 
NR for Control
10.6 ug/dL for 50 ppm

PND 178-181 - Males: 
NR for Control
18.9 ug/dL for 50 ppm","PND 178-181 - Females: 
NR for Control
10.6 ug/dL for 50 ppm

PND 178-181 - Males: 
NR for Control
18.9 ug/dL for 50 ppm",No,
5437575,"Mansouri, M. T., Naghizadeh, B., López-Larrubia, P., Cauli, O.","Behavioral deficits induced by lead exposure are accompanied by serotonergic and cholinergic alterations in the prefrontal cortex",2013,Hester.Kirstin@epa.gov,2,"Brain Structure and Function",Neurotransmitter,Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water or water+NaAc), M/F, n = 16 (8/8)
50 ppm, M/F, n = 16 (8/8)","Pb acetate",,"Oral, drinking water",,,,,"No, adult only",,,,,,,"PND 55 to PND 181",,,"Long-Term (greater than 30 days)",126,"Data from tap water and NaAc control groups were first analyzed separately and no significant differences were found. The data from these groups was pooled as a single control group for the results.","PND 161-179","PND 178-181 - Females: 
NR for Control
10.6 ug/dL for 50 ppm

PND 178-181 - Males: 
NR for Control
18.9 ug/dL for 50 ppm","PND 178-181 - Females: 
NR for Control
10.6 ug/dL for 50 ppm

PND 178-181 - Males: 
NR for Control
18.9 ug/dL for 50 ppm",No,"Extracellular analysis of dopamine, serotonin, and acetylcholine were measured using in vivo microdialysis."
6053629,"Cai, S., Liu, J., Shi, X., Hu, S., Zhao, L.","Allicin alleviated learning and memory deficits caused by lead exposure at developmental stage",2019,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 5
0.2% Pb solution,  M/F, n = 5","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,,Prenatal,Postnatal,,,,"GD 0 to PND 21",,,"Long-Term (greater than 30 days)",43,"Five dams were used for each treatment group, and three pups/litter were selected for testing. It is unclear if 5 or 15 was used for statistical analysis, so 5 is reported here (sex is also unclear). Authors' report that dams were treated for 63 days from GD 0 to PND 21, but it is unclear where the extra days come from (possible typo?).","PND 43-47","5.14 ug/L for Control, 190.23 ug/L for 0.2% Pb solution - PND 48","0.5 ug/dL for Control, 19 ug/dL for 0.2% Pb solution - PND 48",Yes,
6405368,"Wu, Z., Bai, L.,in, Tu, R., Zhang, L., Ba, Y.,ue, Zhang, H., Li, X., Cheng, X., Li, W., Huang, H.,ui","Disruption of synaptic expression pattern and age-related DNA oxidation in a neuronal model of lead-induced toxicity",2020,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (distilled deionized water), M, n = 7-10
0.2% solution, M, n = 7-10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"4 wk to 4 mo",,,"Long-Term (greater than 30 days)",90,"After exposure concluded, animals were maintained for testing at 4 mo, 13 mo and 16 mo (3 cohorts). BLL's at 4 and 13 mo were above the BLL cutoff.","16 mo","16 mo:
66.4 ug/L (6.6 ug/dL) for Control
278.9 ug/L (27.9 ug/dL) for 0.2% solution","6.6 ug/dL for Control, 27.9 ug/dL for 0.2% Pb solution - 16 mo",No,
6405368,"Wu, Z., Bai, L.,in, Tu, R., Zhang, L., Ba, Y.,ue, Zhang, H., Li, X., Cheng, X., Li, W., Huang, H.,ui","Disruption of synaptic expression pattern and age-related DNA oxidation in a neuronal model of lead-induced toxicity",2020,Hester.Kirstin@epa.gov,2,"Neurodegenerative Diseases","Expression of BACE1 and APP",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (distilled deionized water), M, n = 7-10
0.2% solution, M, n = 7-10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"4 wk to 4 mo",,,"Long-Term (greater than 30 days)",90,"After exposure concluded, animals were maintained for testing at 4 mo, 13 mo and 16 mo (3 cohorts). BLL's at 4 and 13 mo were above the BLL cutoff.","16 mo","16 mo:
66.4 ug/L (6.6 ug/dL) for Control
278.9 ug/L (27.9 ug/dL) for 0.2% solution","6.6 ug/dL for Control, 27.9 ug/dL for 0.2% Pb solution - 16 mo",No,
6405368,"Wu, Z., Bai, L.,in, Tu, R., Zhang, L., Ba, Y.,ue, Zhang, H., Li, X., Cheng, X., Li, W., Huang, H.,ui","Disruption of synaptic expression pattern and age-related DNA oxidation in a neuronal model of lead-induced toxicity",2020,Hester.Kirstin@epa.gov,2,"Neurodegenerative Diseases","Phosphorylated-tau expression",Yes,,,,,Mouse,,,,,,,C57BL/6,,,,,,,"Control (distilled deionized water), M, n = 7-10
0.2% solution, M, n = 7-10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,"Continued to Adult",,"4 wk to 4 mo",,,"Long-Term (greater than 30 days)",90,"After exposure concluded, animals were maintained for testing at 4 mo, 13 mo and 16 mo (3 cohorts). BLL's at 4 and 13 mo were above the BLL cutoff.","16 mo","16 mo:
66.4 ug/L (6.6 ug/dL) for Control
278.9 ug/L (27.9 ug/dL) for 0.2% solution","6.6 ug/dL for Control, 27.9 ug/dL for 0.2% Pb solution - 16 mo",No,
6681274,"Zhou, C. C., Gao, Z. Y., Wang, J., Wu, M. Q., Hu, S., Chen, F., Liu, J. X., Pan, H., Yan, C. H.","Lead exposure induces Alzheimers's disease (AD)-like pathology and disturbes cholesterol metabolism in the young rat brain",2018,carlson.laura@epa.gov,2,"Neurodegenerative Diseases","Amyloid protein expression",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M,  n = 10
0.5% solution, M, n = 10
1.0% solution, M, n = 10
2.0% solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"PND 24 to PND 52","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats were exposed via drinking water to Pb acetate for 4 weeks.","PND 24, 31, 38, 45, 52","PND 52:
13.3 ug/L (1.3 ug/dL) for Control
148.9 ug/L (14.9 ug/dL) for 0.5% solution
231.3 ug/L (23.1 ug/dL) for 1.0% solution
293.4 ug/L (29.3 ug/dL) for 2.0% solution","1.3 ug/dL for 0 ppm, 14.9 ug/dL for 0.5% Pb, 23.1 ug/dL for 1.0% Pb, 29.3 ug/dL for 2.0% Pb",Yes,"Looks at alzheimers disease pathology"
6681274,"Zhou, C. C., Gao, Z. Y., Wang, J., Wu, M. Q., Hu, S., Chen, F., Liu, J. X., Pan, H., Yan, C. H.","Lead exposure induces Alzheimers's disease (AD)-like pathology and disturbes cholesterol metabolism in the young rat brain",2018,carlson.laura@epa.gov,2,"Brain Structure and Function","Brain Weight",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M,  n = 10
0.5% solution, M, n = 10
1.0% solution, M, n = 10
2.0% solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"PND 24 to PND 52","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats were exposed via drinking water to Pb acetate for 4 weeks.","PND 24, 31, 38, 45, 52","PND 52:
13.3 ug/L (1.3 ug/dL) for Control
148.9 ug/L (14.9 ug/dL) for 0.5% solution
231.3 ug/L (23.1 ug/dL) for 1.0% solution
293.4 ug/L (29.3 ug/dL) for 2.0% solution","1.3 ug/dL for 0 ppm, 14.9 ug/dL for 0.5% Pb, 23.1 ug/dL for 1.0% Pb, 29.3 ug/dL for 2.0% Pb",Yes,"Looks at alzheimers disease pathology"
6681274,"Zhou, C. C., Gao, Z. Y., Wang, J., Wu, M. Q., Hu, S., Chen, F., Liu, J. X., Pan, H., Yan, C. H.","Lead exposure induces Alzheimers's disease (AD)-like pathology and disturbes cholesterol metabolism in the young rat brain",2018,carlson.laura@epa.gov,2,"Brain Structure and Function","Brain Histopathology",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M,  n = 10
0.5% solution, M, n = 10
1.0% solution, M, n = 10
2.0% solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"PND 24 to PND 52","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats were exposed via drinking water to Pb acetate for 4 weeks.","PND 24, 31, 38, 45, 52","PND 52:
13.3 ug/L (1.3 ug/dL) for Control
148.9 ug/L (14.9 ug/dL) for 0.5% solution
231.3 ug/L (23.1 ug/dL) for 1.0% solution
293.4 ug/L (29.3 ug/dL) for 2.0% solution","1.3 ug/dL for 0 ppm, 14.9 ug/dL for 0.5% Pb, 23.1 ug/dL for 1.0% Pb, 29.3 ug/dL for 2.0% Pb",Yes,"Looks at alzheimers disease pathology"
6681274,"Zhou, C. C., Gao, Z. Y., Wang, J., Wu, M. Q., Hu, S., Chen, F., Liu, J. X., Pan, H., Yan, C. H.","Lead exposure induces Alzheimers's disease (AD)-like pathology and disturbes cholesterol metabolism in the young rat brain",2018,carlson.laura@epa.gov,2,"Neurodegenerative Diseases","Brain Cholesterol",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M,  n = 10
0.5% solution, M, n = 10
1.0% solution, M, n = 10
2.0% solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"PND 24 to PND 52","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats were exposed via drinking water to Pb acetate for 4 weeks.","PND 24, 31, 38, 45, 52","PND 52:
13.3 ug/L (1.3 ug/dL) for Control
148.9 ug/L (14.9 ug/dL) for 0.5% solution
231.3 ug/L (23.1 ug/dL) for 1.0% solution
293.4 ug/L (29.3 ug/dL) for 2.0% solution","1.3 ug/dL for 0 ppm, 14.9 ug/dL for 0.5% Pb, 23.1 ug/dL for 1.0% Pb, 29.3 ug/dL for 2.0% Pb",Yes,"Looks at alzheimers disease pathology"
6681274,"Zhou, C. C., Gao, Z. Y., Wang, J., Wu, M. Q., Hu, S., Chen, F., Liu, J. X., Pan, H., Yan, C. H.","Lead exposure induces Alzheimers's disease (AD)-like pathology and disturbes cholesterol metabolism in the young rat brain",2018,Hester.Kirstin@epa.gov,2,"Neurodegenerative Diseases","Expression of BACE1 and APP",Yes,,,,,,Rat,,"Sprague Dawley",,,,,,,,,,,"Control (distilled water), M,  n = 10
0.5% solution, M, n = 10
1.0% solution, M, n = 10
2.0% solution, M, n = 10","Pb acetate",,"Oral, drinking water",,,,,Yes,,,,Juvenile/Adolescent,,,"PND 24 to PND 52","Short-Term (less than or equal to 30 days)",28,,,"Weanling rats were exposed via drinking water to Pb acetate for 4 weeks.","PND 24, 31, 38, 45, 52","PND 52:
13.3 ug/L (1.3 ug/dL) for Control
148.9 ug/L (14.9 ug/dL) for 0.5% solution
231.3 ug/L (23.1 ug/dL) for 1.0% solution
293.4 ug/L (29.3 ug/dL) for 2.0% solution","1.3 ug/dL for 0 ppm, 14.9 ug/dL for 0.5% Pb, 23.1 ug/dL for 1.0% Pb, 29.3 ug/dL for 2.0% Pb",Yes,"Looks at alzheimers disease pathology"
6682480,"Dumková, J., Smutná, T., Vrlíková, L., Le Coustumer, P., Večeřa, Z., Dočekal, B., Mikuška, P., Čapka, L., Fictum, P., Hampl, A., Buchtová, M.","Sub-chronic inhalation of lead oxide nanoparticles revealed their broad distribution and tissue-specific subcellular localization in target organs",2017,carlson.laura@epa.gov,2,"Brain Structure and Function",Histopathology,Yes,,,,,Mouse,,,,,,,,ICR,,,,,,"Control, F, n = 10
10^6/cm^3 Pb0 nanoparticles, F, n = 10","Pb acetate",,,,,Inhalation,,"No, adult only",,,,,,,"NR (24 g) - 6wk continuous exposure",,,"Long-Term (greater than 30 days)",42,"Mice were exposed 24h/d 7d/wk to PbO nanoparticles via inhalation.  However, it is likely the animals also experienced some oral exposure from grooming and deposition of particles on fur.","After 6wk treatment","After 6wk treatment:
11 ng/g (1.16 ug/dL) for Control
132 ng/g (13.99 ug/dL) for 10^6/cm^3","1.166 ug/dL for 0 ppm, 13.992 ug/dL for10^6/cm^3 Pb0- date not reported (42 days after exposure)",No,"Not sure how to list the Pb inhalation dose or if the inhalation methods are quality."
6684246,"Bihaqi, S. W., Zawia, N. H.","Enhanced taupathy and AD-like pathology in aged primate brains decades after infantile exposure to lead (Pb)",2013,Hester.Kirstin@epa.gov,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6687354,"Gu, H., Robison, G., Hong, L.,an, Barrea, R., Wei, X., Farlow, M. R., Pushkar, Y. N., Du, Y., Zheng, W.,ei","Increased beta-amyloid deposition in Tg-SWDI transgenic mouse brain following in vivo lead exposure",2012,Hester.Kirstin@epa.gov,2,"Neurodegenerative Diseases","Beta-amyloid and APP expression",Yes,,,,,Mouse,,,,,,,,,,,,Tg-SWDI,,"Control (Na-acetate water), NR, n = 4-7
50 mg/kg, NR, n = 4-7","Pb acetate",,,"Oral, gavage",,,,"No, adult only",,,,,,,"4-8wk to 10wk-14wk",,,"Long-Term (greater than 30 days)",42,,10-14wk,"10-14wk:
1.83 ug/dL for Control 
29.5 ug/dL for 50 mg/kg",,No,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Internalizing Behaviors","Elevated Plus Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 60","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Cognitive Function","Y Maze - Spontaneous Alternation",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 35","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Motor Function","Open Field Test",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 30","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Cognitive Function","Novel Object Recognition",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 63-65","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 68-72","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Externalizing Behaviors","Ultrasonic Vocalizations",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 4, 7, 10, 12","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Motor Function","Neonatal Spontaneous Movement",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 4, 7, 10, 12","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Motor Function","Surface Righting Reflex",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 4, 7, 10, 12","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6704570,"Tartaglione, A. M., Serafini, M. M., Raggi, A., Iacoponi, F., Zianni, E., Scalfari, A., Minghetti, L., Ricceri, L., Cubadda, F., Calamandrei, G., Viviani, B.","Sex-Dependent Effects of Developmental Lead Exposure in Wistar Rats: Evidence from Behavioral and Molecular Correlates",2020,Hester.Kirstin@epa.gov,2,"Motor Function","Negative Geotaxis",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F n = 16 (9/7)
50 mg/L, M/F, n = 16 (9/7)","Pb acetate",,,,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,,,,"GD -28 to PND 23",,,"Long-Term (greater than 30 days)",73,"One male and one female were selected from each litter for testing.","PND 4, 7, 10, 12","PND 23:
0.007 ug/mL (0.7 ug/dL) for Control
0.255 ug/mL (25.5 ug/dL) for 50 mg/L","0.7 ug/dL for Control, 25.5 ug/dL for 50 mg/L - PND 23",Yes,
6708144,"Xiao, Y., Fu, H., Han, X., Hu, X., Gu, H., Chen, Y., Wei, Q., Hu, Q.","Role of synaptic structural plasticity in impairments of spatial learning and memory induced by developmental lead exposure in Wistar rats",2014,Hester.Kirstin@epa.gov,2,"Cognitive Function","Morris Water Maze",Yes,,,,,,Rat,,,Wistar,,,,,,,,,,"Control (tap water), M/F, n = 10 (5/5)
Pre-weaning: 2 mM solution, M/F, n = 10 (5/5)
Post-weaning: 2 mM solution, M/F, n = 10 (5/5)","Pb chloride",,"Oral, drinking water",,"Oral, lactation",,"In utero",Yes,Preconception,Prenatal,Postnatal,Juvenile/Adolescent,,,"Pre-weaning: GD -21 to PND 21
Post-weaning: PND 21 to PND 84",,,"Long-Term (greater than 30 days)",63,"Groups were exposed as follows.
Control: Dam and pups consumed normal drinking water throughout the experiment. 
Pre-weaning: Dams were given water containing 2 mM Pb three weeks prior to mating and throughout the postnatal period. After weaning, pups were given normal drinking water (Total Exposure = 43 days)
Post-weaning: Dams consumed normal drinking water throughout breeding. After weaning, pups were given water containing 2 mM Pb until PND 84 (Total Exposure = 63 days)","PND 85 to 90","PND 21 - Pre-weaning:
10.09 ug/L (1 ug/dL) for Control
103.8 ug/L (10.4 ug/dL) for 2 mM solution

PND 21 - Post-weaning:
Not Reported

PND 91 - Pre-weaning:
10.32 ug/L (1 ug/dL) for Control
39.27 ug/L (3.9 ug/dL) for 2 mM solution

PND 91 - Post-weaning:
10.32 ug/L (1 ug/dL) for Control
105.45 ug/L (10.5 ug/dL) for 2 mM solution","PND 21 - Pre-weaning:
1 ug/dL for Control
10.4 ug/dL for 2 mM solution

PND 21 - Post-weaning:
Not Reported

PND 91 - Pre-weaning:
1 ug/dL for Control
3.9 ug/dL for 2 mM solution

PND 91 - Post-weaning:
1 ug/dL for Control
10.5 ug/dL for 2 mM solution",Yes,
